Uri,Nombre_Cancion_o_Album,Artista,Genero_Musical_Seed,Cancion_o_Album_Tipo,Año_Lanzamiento
spotify:track:0iYFRxsMSdeI9rVnPIls3g,Dilly,Band of Horses,indie,track,2010
spotify:track:63SkjBCtxprtffKkyrzpuk,Volver,Pedro Guerra,indie,track,2010
spotify:track:6K3u8TuvUOcogcZRinF5bJ,Platos Rotos,Paco Cifuentes,indie,track,2010
spotify:track:0KOBLH0fvpX1ceEqTMlk2q,Amor Sin Fin,Adanowsky,indie,track,2010
spotify:track:2gjIGEU2fR1QKOVQ1drwfc,"Maybe I Will, Maybe I Won't",The Young Veins,indie,track,2010
spotify:track:4sCtylJy7w1K3tWFFG45LT,Summer Well,Interpol,indie,track,2010
spotify:track:3eFCspOdbGPEI8XG5hWI15,Lover of Mine,Beach House,indie,track,2010
spotify:track:72FiKyhs03HnTerD8C1L5V,(Feels Like) Heaven,Fiction Factory,indie,track,2010
spotify:track:0FWUcYYQNmtKMHR3IjXPOK,Belle De Jour,Paco Cifuentes,indie,track,2010
spotify:track:20QaQpERT2Z8pj9vZIYTE9,Our Socks Forever More,This Is The Kit,indie,track,2010
spotify:track:12IvmFs4HZJEYzq7VhDKR8,Half Light II (No Celebration),Arcade Fire,indie,track,2010
spotify:track:3apHHamyT9TN9UIp7IFIQB,Summer Holiday,Wild Nothing,indie,track,2010
spotify:track:0KzyweyZCAuqsn1It1t9np,Son of a Gun,Lord Huron,indie,track,2010
spotify:track:2apqvRQld8HVFNm4Ukbw3n,Madrid - Barcelona,Tontxu,indie,track,2010
spotify:track:5ZtuED7S8xZd6NE7JbwJ3O,Silently Leaving the Room,Carissa's Wierd,indie,track,2010
spotify:track:6ospOiZxBsnaME6SqbCgSG,Trouble Comes Knocking,Timber Timbre,indie,track,2010
spotify:track:0FFevuqs9o7BYLqp7VPTpB,Change,The Young Veins,indie,track,2010
